ACC,F1,TPR,FPR,,,,,,,,,
0.808326597,0.257823262,0.999750062,0.198274153,,,,,,,,,
0.816659861,0.214079209,0.999666778,0.188032581,,,,,,,,,
0.824993125,0.399624785,0.874890639,0.178569834,,,,,,,,,
0.849992917,0.639503545,0.842060944,0.148513381,,,,,,,,,
0.791660069,0.489323198,0.705840833,0.194172872,,,,,,,,,
0.799993333,0.519530784,0.764660902,0.194172872,,,,,,,,,
0.816659861,0.541231211,0.928505107,0.198111339,,,,,,,,,
0.816659861,0.541214745,0.866608893,0.190474376,,,,,,,,,
0.833326389,0.629123826,0.77269215,0.153059663,,,,,,,,,
0.799993333,0.53796787,0.699965002,0.1799982,,,,,,,,,
0.808326597,0.548553989,0.823480972,0.194172872,,,,,,,,,
0.816659861,0.592088184,0.727239671,0.16326364,,,,,,,,,
0.808326597,0.565538317,0.714251702,0.171715437,,,,,,,,,
0.774993542,0.470113474,0.666629632,0.205880335,,,,,,,,,
0.833326389,0.614921169,0.941121111,0.184464229,,,,,,,,,
0.791660069,0.575776318,0.7390983,0.195874269,,,,,,,,,
0.724993958,0.581764889,0.60524723,0.219509518,,,,,,,,,
0.783326806,0.617140093,0.724112962,0.197800024,,,,,,,,,
0.741660486,0.474123925,0.736803326,0.257423194,,,,,,,,,
0.674994375,0.338609972,0.714234698,0.330185564,,,,,,,,,
0.641661319,0.156712139,0.999750062,0.37068646,,,,,,,,,
0.624994792,0.181589673,0.714183688,0.380527606,,,,,,,,,
0.658327847,0.304793121,0.899910009,0.363633058,,,,,,,,,
0.616661528,0.07992004,0.99950025,0.389827205,,,,,,,,,
0.608328264,0.040774679,0.999000999,0.394954664,,,,,,,,,
0.574995208,0.105129099,0.749812547,0.431030767,,,,,,,,,
0.591661736,0.309551557,0.846088762,0.439248231,,,,,,,,,
0.716660694,0.540097852,0.869527412,0.319584334,,,,,,,,,
0.733327222,0.542421953,0.904718823,0.303027242,,,,,,,,,
0.741660486,0.626012268,0.787854913,0.275858898,,,,,,,,,
0.666661111,0.473284245,0.899955002,0.3799962,,,,,,,,,
0.591661736,0.309534136,0.785658167,0.43395817,,,,,,,,,
0.491662569,0.298416252,0.481463649,0.50537091,,,,,,,,,
0.599995,0.488909632,0.741911551,0.449433152,,,,,,,,,
0.541662153,0.444013458,0.73330889,0.52221642,,,,,,,,,
0.499995833,0.230453071,0.599960003,0.514280816,,,,,,,,,
0.524995625,0.17360271,0.461502961,0.467285352,,,,,,,,,
0.574995208,0.163726112,0.714183688,0.433624481,,,,,,,,,
0.608328264,0.175143583,0.499950005,0.381814711,,,,,,,,,
0.566661944,0.332872735,0.481463649,0.408597757,,,,,,,,,
0.608328264,0.318420186,0.549972501,0.3799962,,,,,,,,,
0.524995625,0.239541473,0.346140533,0.425527388,,,,,,,,,
0.558328681,0.464141739,0.511099753,0.413327822,,,,,,,,,
0.533328889,0.428068459,0.47726188,0.434204813,,,,,,,,,
0.466662778,0.372045452,0.404246718,0.49314393,,,,,,,,,
0.441662986,0.308773258,0.319142146,0.479445487,,,,,,,,,
0.541662153,0.246197587,0.499972224,0.450975971,,,,,,,,,
0.508329097,0.271172134,0.439982401,0.473679224,,,,,,,,,
0.566661944,0.315381734,0.571401362,0.434339047,,,,,,,,,
0.616661528,0.464675085,0.740713307,0.41935033,,,,,,,,,
0.533328889,0.281733731,0.733284448,0.495233379,,,,,,,,,
0.541662153,0.285322825,0.549972501,0.4599954,,,,,,,,,
0.683327639,0.524548489,0.807661244,0.351060095,,,,,,,,,
0.616661528,0.464638651,0.624980469,0.386359246,,,,,,,,,
0.616661528,0.451918533,0.655149822,0.395600048,,,,,,,,,
0.549995417,0.324537509,0.464269133,0.423908436,,,,,,,,,
0.541662153,0.336920829,0.559977601,0.463153019,,,,,,,,,
0.524995625,0.295882888,0.521716447,0.474221915,,,,,,,,,
0.583328472,0.37458138,0.652145559,0.432985227,,,,,,,,,
0.641661319,0.455262045,0.749968751,0.385412652,,,,,,,,,
0.616661528,0.438581031,0.692281066,0.404251019,,,,,,,,,
0.608328264,0.27657697,0.642811228,0.396222677,,,,,,,,,
0.608328264,0.253633064,0.615337282,0.392519696,,,,,,,,,
0.624994792,0.307382058,0.833263895,0.398144462,,,,,,,,,
0.508329097,0.119145991,0.399960004,0.481813802,,,,,,,,,
0.441662986,0.106395686,0.333305558,0.546291238,,,,,,,,,
0.474996042,0.086844895,0.749812547,0.534478151,,,,,,,,,
