ACC,F1,TPR,FPR,,,ACC,F1,TPR,FPR,ACC_std,F1_std,TPR_std,FPR_std
0.94165882,0.894996937,0.857118368,0.023529135,,,,,,,,,,
0.94165882,0.903587439,0.84613215,0.012345527,,,,,,,,,,
0.94165882,0.903587439,0.84613215,0.012345527,,,,,,,,,,
0.949992083,0.918397639,0.849978751,0,,,,,,,,,,
0.916659028,0.864343239,0.820491782,0.03703658,,,,,,,,,,
0.949992083,0.918395815,0.871772519,0.012345527,,,,,,,,,,
0.958325347,0.936185494,0.924976876,0.024999688,,,,,,,,,,
0.933325556,0.906455928,0.906955652,0.051947377,,,,,,,,,,
0.94165882,0.919019429,0.909070248,0.039473165,,,,,,,,,,
0.949992083,0.929711464,0.909070248,0.026315443,,,,,,,,,,
0.983325139,0.976750773,0.977250517,0.013157722,,,,,,,,,,
0.966658611,0.957814496,0.9199816,0,,,,,,,,,,
0.94165882,0.922558415,0.874981771,0.013888696,,,,,,,,,,
0.883325972,0.862233272,0.785700255,0.031249512,,,,,,,,,,
0.916659028,0.90514641,0.84209049,0.015872764,,,,,,,,,,
0.866659445,0.842627931,0.75437273,0.031745528,,,,,,,,,,
0.849992917,0.815812049,0.769215977,0.088233997,,,,,,,,,,
0.841659653,0.807566066,0.769215977,0.102939663,,,,,,,,,,
0.824993125,0.763529678,0.809504536,0.16666453,,,,,,,,,,
0.841659653,0.811369385,0.745440992,0.076921894,,,,,,,,,,
0.816659861,0.755041316,0.708318577,0.111109568,,,,,,,,,,
0.883325972,0.824479678,0.824979376,0.087498906,,,,,,,,,,
0.858326181,0.812669791,0.787217293,0.095889097,,,,,,,,,,
0.866659445,0.809005127,0.790679287,0.09090791,,,,,,,,,,
0.816659861,0.73758508,0.659560435,0.082190655,,,,,,,,,,
0.816659861,0.770339272,0.637920036,0.016128772,,,,,,,,,,
0.816659861,0.760376951,0.624988839,0.015624756,,,,,,,,,,
0.833326389,0.755594005,0.645819879,0.041666088,,,,,,,,,,
0.891659236,0.834928668,0.749982955,0.026315443,,,,,,,,,,
0.824993125,0.768724379,0.67306398,0.058822664,,,,,,,,,,
0.783326806,0.739519292,0.587292265,0,,,,,,,,,,
0.874992708,0.804678329,0.738077665,0.051281394,,,,,,,,,,
0.841659653,0.758988294,0.652159736,0.040539993,,,,,,,,,,
0.824993125,0.758111562,0.673455644,0.070421543,,,,,,,,,,
0.883325972,0.810290665,0.769211046,0.061727633,,,,,,,,,,
0.883325972,0.810289571,0.789452909,0.073169839,,,,,,,,,,
0.849992917,0.790186354,0.708318577,0.055554784,,,,,,,,,,
0.849992917,0.815823488,0.701742075,0.015872764,,,,,,,,,,
0.808326597,0.788488812,0.682528849,0.052630656,,,,,,,,,,
0.824993125,0.803233419,0.704906477,0.050846596,,,,,,,,,,
0.816659861,0.795795735,0.682528849,0.035087104,,,,,,,,,,
0.741660486,0.679917865,0.568955708,0.096772633,,,,,,,,,,
0.883325972,0.843929921,0.775494378,0.042252926,,,,,,,,,,
