ACC,F1,TPR,FPR,,,,,,,,,
0.958325347,0.782064564,0.642811228,0,,,,,,,,,
0.958325347,0.761342723,0.666611116,0.009259174,,,,,,,,,
0.933325556,0.635822683,0.538420122,0.018691414,,,,,,,,,
0.974991875,0.822948389,0.999857163,0.026548438,,,,,,,,,
0.966658611,0.713694225,0.833194468,0.026315559,,,,,,,,,
0.974991875,0.856562656,0.818107445,0.009174228,,,,,,,,,
0.974991875,0.84151831,0.799920008,0.009090826,,,,,,,,,
0.958325347,0.736266273,0.699930007,0.018181653,,,,,,,,,
0.94165882,0.695115639,0.571387758,0.009433873,,,,,,,,,
0.958325347,0.761360838,0.615337282,0,,,,,,,,,
0.974991875,0.841529375,0.727206618,0,,,,,,,,,
0.966658611,0.832764195,0.833263895,0.018518347,,,,,,,,,
0.966658611,0.832767662,0.909008272,0.027522683,,,,,,,,,
0.966658611,0.881803052,0.93744141,0.028845876,,,,,,,,,
0.958325347,0.877508909,0.81814463,0.010203978,,,,,,,,,
0.949992083,0.863101526,0.791633682,0.010416558,,,,,,,,,
0.966658611,0.904223629,0.826051041,0,,,,,,,,,
0.94165882,0.836683896,0.719971201,0,,,,,,,,,
0.94165882,0.828728441,0.809485263,0.030302724,,,,,,,,,
0.874992708,0.705364432,0.620668253,0.043955561,,,,,,,,,
0.8999925,0.792597791,0.657124082,0,,,,,,,,,
0.908325764,0.791944752,0.656229493,0,,,,,,,,,
0.916659028,0.814285629,0.785686225,0.043477788,,,,,,,,,
0.8999925,0.817659165,0.771406531,0.04705827,,,,,,,,,
0.833326389,0.721708671,0.64998375,0.074999063,,,,,,,,,
0.8999925,0.799475866,0.749976563,0.045454029,,,,,,,,,
0.874992708,0.782088953,0.729710008,0.060240238,,,,,,,,,
0.849992917,0.762655084,0.644430124,0.026666311,,,,,,,,,
0.824993125,0.758118423,0.647046136,0.043477631,,,,,,,,,
0.833326389,0.736335502,0.636349174,0.052630886,,,,,,,,,
0.833326389,0.686983268,0.62855347,0.082351972,,,,,,,,,
0.883325972,0.681304062,0.83328704,0.10784208,,,,,,,,,
0.858326181,0.666145697,0.7390983,0.113400893,,,,,,,,,
0.833326389,0.713769325,0.657877424,0.085364813,,,,,,,,,
0.833326389,0.76139714,0.666652778,0.055554784,,,,,,,,,
0.824993125,0.686056043,0.60524723,0.073169839,,,,,,,,,
0.799993333,0.666158154,0.585351577,0.088606473,,,,,,,,,
0.824993125,0.631061024,0.692281066,0.138296401,,,,,,,,,
0.841659653,0.70717195,0.676450693,0.093022174,,,,,,,,,
0.916659028,0.799469113,0.833298613,0.062499349,,,,,,,,,
0.833326389,0.654650797,0.633312223,0.099998889,,,,,,,,,
0.883325972,0.740216384,0.799968001,0.094735845,,,,,,,,,
0.783326806,0.535211533,0.652145559,0.185565097,,,,,,,,,
0.816659861,0.644640867,0.645140479,0.123594117,,,,,,,,,
0.883325972,0.758100204,0.846121303,0.106381847,,,,,,,,,
0.816659861,0.685205248,0.599985,0.074999063,,,,,,,,,
0.849992917,0.726751491,0.749976563,0.113635072,,,,,,,,,
0.841659653,0.731886062,0.634130875,0.05063227,,,,,,,,,
0.891659236,0.811073609,0.756736304,0.04819219,,,,,,,,,
0.858326181,0.789617127,0.680836578,0.027396885,,,,,,,,,
0.891659236,0.838991908,0.755538766,0.026666311,,,,,,,,,
0.908325764,0.87860914,0.784298347,0,,,,,,,,,
0.858326181,0.812672203,0.755086631,0.070421543,,,,,,,,,
0.858326181,0.824229865,0.754702741,0.059700601,,,,,,,,,
0.841659653,0.837098983,0.753834556,0.054544463,,,,,,,,,
0.799993333,0.792604934,0.67646064,0.038460799,,,,,,,,,
0.849992917,0.815815377,0.740727024,0.060605142,,,,,,,,,
0.874992708,0.823010408,0.81393456,0.09090791,,,,,,,,,
0.833326389,0.82091994,0.741923517,0.068964328,,,,,,,,,
0.74999375,0.753592905,0.67646064,0.153843195,,,,,,,,,
0.733327222,0.679489963,0.739114367,0.270266618,,,,,,,,,
0.824993125,0.787364462,0.749985577,0.117645329,,,,,,,,,
0.833326389,0.803407844,0.759245199,0.106058999,,,,,,,,,
0.849992917,0.811983381,0.812483073,0.124998264,,,,,,,,,
0.858326181,0.824226044,0.851045722,0.136984425,,,,,,,,,
0.866659445,0.839483698,0.857125365,0.126758778,,,,,,,,,
0.8999925,0.879482884,0.862728182,0.072462718,,,,,,,,,
0.866659445,0.851339111,0.793089774,0.064515088,,,,,,,,,
0.866659445,0.836217917,0.836717618,0.112674469,,,,,,,,,
