ACC,F1,TPR,FPR,,,,,,,,,
0.591661736,0.328386977,0.666629632,0.421564494,,,,,,,,,
0.616661528,0.548546908,0.756736304,0.445777762,,,,,,,,,
0.566661944,0.479519661,0.631562327,0.463408983,,,,,,,,,
0.44999625,0.213972656,0.562464846,0.567302237,,,,,,,,,
0.483329306,0.161905056,0.545404963,0.522930982,,,,,,,,,
0.483329306,0.114125909,0.666555574,0.526311173,,,,,,,,,
0.491662569,0.061394861,0.399920016,0.50434344,,,,,,,,,
0.533328889,0.377358961,0.653821007,0.499994681,,,,,,,,,
0.508329097,0.168693302,0.428540819,0.481127537,,,,,,,,,
0.524995625,0.239674017,0.599960003,0.48570966,,,,,,,,,
0.574995208,0.354031509,0.666634922,0.444439955,,,,,,,,,
0.574995208,0.439095266,0.624980469,0.443176782,,,,,,,,,
0.533328889,0.377299842,0.499985295,0.453483099,,,,,,,,,
0.574995208,0.369955022,0.652145559,0.443294399,,,,,,,,,
0.624994792,0.383179936,0.77773457,0.401956844,,,,,,,,,
0.674994375,0.561354197,0.892825256,0.391300095,,,,,,,,,
0.608328264,0.504845975,0.888855968,0.473113192,,,,,,,,,
0.574995208,0.370044463,0.93744141,0.480764608,,,,,,,,,
0.549995417,0.386003928,0.849957502,0.5099949,,,,,,,,,
0.583328472,0.444024079,0.769201185,0.468080127,,,,,,,,,
0.599995,0.454160428,0.909049589,0.469382965,,,,,,,,,
0.566661944,0.365476272,0.749962502,0.4699953,,,,,,,,,
0.641661319,0.493664614,0.749973215,0.391300095,,,,,,,,,
0.649994583,0.446934951,0.7390983,0.371130195,,,,,,,,,
0.599995,0.428117238,0.642834184,0.413038989,,,,,,,,,
0.599995,0.466160774,0.51218263,0.354425893,,,,,,,,,
0.633328056,0.420570126,0.551705114,0.340655597,,,,,,,,,
0.708327431,0.461076881,0.681787191,0.28571137,,,,,,,,,
0.608328264,0.471401612,0.499988096,0.33332906,,,,,,,,,
0.674994375,0.518039741,0.699976667,0.33332963,,,,,,,,,
0.583328472,0.518722926,0.551009163,0.394360643,,,,,,,,,
