Fc_real,Fd_real,Fe_real,Fc_pre,Fd_pre,Fe_pre
0.18388318,0.187128177,0.628988643,0.18009735,0.198485668,0.621416982
0.18388318,0.179015684,0.637101136,0.176852353,0.202271498,0.620876149
0.175770687,0.186587345,0.637641969,0.156300703,0.215251487,0.62844781
0.179015684,0.179015684,0.641968632,0.162249865,0.208761493,0.628988643
0.177934018,0.165494862,0.65657112,0.166035695,0.203353164,0.630611141
0.18388318,0.161168199,0.654948621,0.17252569,0.188750676,0.638723634
0.181719849,0.151433207,0.666846944,0.166576528,0.182260681,0.651162791
0.18009735,0.134126555,0.685776095,0.17252569,0.167117361,0.66035695
0.184964846,0.136830719,0.678204435,0.17252569,0.167117361,0.66035695
0.185505679,0.139534884,0.674959438,0.175770687,0.159004867,0.665224446
0.18766901,0.138453218,0.673877772,0.178474851,0.167658194,0.653866955
0.19145484,0.13142239,0.677122769,0.187128177,0.164954029,0.647917793
0.189832342,0.130881558,0.679286101,0.185505679,0.166035695,0.648458626
0.194699838,0.122228231,0.683071931,0.196322336,0.169280692,0.634396971
0.200108167,0.118442401,0.681449432,0.192536506,0.168739859,0.638723634
0.204975663,0.11249324,0.682531098,0.198485668,0.156300703,0.645213629
0.215251487,0.103299081,0.681449432,0.214169822,0.147647377,0.638182802
0.21579232,0.115738237,0.668469443,0.212547323,0.154678204,0.632774473
0.218496485,0.11627907,0.665224446,0.219037317,0.156300703,0.624661979
0.227149811,0.103839913,0.669010276,0.229853975,0.135208221,0.634937804
0.240670633,0.100054083,0.659275284,0.238507301,0.141157382,0.620335316
0.248783126,0.101135749,0.650081125,0.253109789,0.136830719,0.610059492
0.26825311,0.092482423,0.639264467,0.280692266,0.130881558,0.588426176
0.281773932,0.093023256,0.625202812,0.291508924,0.128718226,0.57977285
0.290968091,0.096268253,0.612763656,0.305029746,0.12763656,0.567333694
0.306111412,0.096268253,0.597620335,0.320713899,0.130340725,0.548945376
0.30773391,0.102758248,0.589507842,0.320173067,0.127095727,0.552731206
0.310978908,0.118442401,0.570578691,0.327744727,0.130881558,0.541373716
0.329908058,0.120605733,0.549486209,0.351000541,0.123309897,0.525689562
0.337479719,0.13142239,0.531097891,0.353704705,0.124932396,0.521362899
0.338561385,0.147106544,0.514332071,0.35640887,0.133044889,0.510546241
0.33964305,0.167117361,0.493239589,0.358031368,0.133585722,0.50838291
0.340724716,0.177393186,0.481882098,0.3601947,0.147647377,0.492157923
0.342888048,0.188750676,0.468361276,0.351000541,0.15197404,0.497025419
0.341806382,0.195781504,0.462412115,0.358031368,0.159004867,0.482963764
0.340724716,0.212547323,0.446727961,0.347755544,0.168199027,0.48404543
0.340183883,0.219037317,0.440778799,0.347755544,0.173607355,0.478637101
0.345051379,0.220118983,0.434829638,0.367225527,0.170362358,0.462412115
0.341806382,0.231476474,0.426717144,0.351000541,0.174148188,0.474851271
0.342888048,0.241752299,0.415359654,0.345592212,0.185505679,0.468902109
0.330989724,0.255273121,0.413737155,0.323418064,0.190914008,0.485667929
0.326122228,0.259599784,0.414277988,0.327203894,0.213088156,0.45970795
0.326663061,0.261763115,0.411573824,0.340183883,0.223904813,0.435911303
0.32449973,0.27203894,0.40346133,0.339102217,0.222823148,0.438074635
0.336398053,0.265008112,0.398593835,0.352082207,0.221741482,0.426176312
0.340724716,0.260681449,0.398593835,0.36398053,0.21957815,0.41644132
0.340724716,0.265548945,0.393726339,0.366143862,0.233098972,0.400757166
0.33207139,0.281233099,0.386695511,0.348296376,0.233098972,0.418604651
0.334234721,0.281773932,0.383991347,0.357490535,0.249323959,0.393185506
0.338561385,0.284478096,0.376960519,0.36776636,0.244456463,0.387777177
0.334234721,0.289886425,0.375878853,0.3601947,0.241211466,0.398593835
0.326663061,0.290968091,0.382368848,0.355327204,0.235262304,0.409410492
