x,y,z
22.29706,-3.4553967,5.3872404
21.443077,-4.428216,2.7638223
2.6643906,0.07981739,-9.92538
0.26638132,10.015675,-2.5805352
7.1859584,-8.021576,4.221732
15.585756,2.5541291,-7.4369006
17.231451,-1.7538022,-6.954576
14.571351,5.4568143,-5.6473017
20.89095,-4.8117166,1.1059757
19.06458,-4.607569,-3.8033535
16.590343,-0.21963398,-7.4776034
14.319328,6.093061,-4.8924627
5.022854,-8.182047,-4.7669225
-0.2792363,10.264148,0.937571
-11.935793,7.1941075,-3.37989
-10.294789,-0.44160566,-8.788711
-11.427596,5.6634097,-5.570082
-16.377275,4.384126,6.0779653
-18.93987,-0.53996676,4.506362
-10.439159,0.23391314,-8.675469
-11.216319,4.4659514,-6.6854863
-12.991405,8.293387,0.7608988
-16.493517,4.1699243,6.0939517
-15.885985,5.2019935,5.9154267
-19.206612,-1.2189697,4.2188416
-22.001146,-5.336571,-4.2653637
-22.083239,-5.561707,-5.1024647
-22.024574,-5.3752975,-4.37509
-19.135622,-0.9394172,3.9640195
-20.267204,-2.6086965,2.0774748
-20.63984,-3.1694694,1.102574
-14.108475,8.045578,3.1488545
0.41228703,9.7336445,-3.5147488
16.396032,0.28560033,-7.567168
20.478899,-4.994043,-0.097555496
21.623413,-4.249754,3.3159573
13.622195,7.423575,-2.2865822
3.6977043,-4.362673,-8.473516
3.8654773,-4.8475704,-8.153105
10.313345,2.9394977,8.225482
17.735529,-2.7867358,-6.3076506
-0.6693012,9.801528,3.1127567
1.0014443,7.82598,-6.788691
4.358909,-6.3512754,-6.816369
9.686242,0.49726525,8.975619
2.293937,1.8066635,-9.904217
-1.644456,7.401751,6.6354637
-5.7747164,-6.831612,6.7072253
-12.9979105,8.295439,0.78777015
-11.822695,6.9039044,-3.871727
-17.33912,2.5781977,6.1198077
-11.436745,5.6994805,-5.530264
-15.046211,6.4506555,5.1166024
-15.8195,5.5272803,5.7947206
-13.511169,8.177594,2.3490243
-11.390221,5.538656,-5.696419
-16.307215,4.4948535,6.0530214
-16.38546,4.361097,6.072689
-17.999826,1.2682295,5.682897
-19.582596,-1.2774814,3.7277744
-21.342619,-4.258175,-1.2889912
-21.713715,-4.868109,-2.941741
-19.620466,-1.6442627,3.4431508
-13.14943,8.284355,1.2845044
-10.467609,0.4749985,-8.643383
-15.081276,6.3881626,5.1604037
-9.859203,-2.835001,-8.665961
-4.6440573,-3.0549428,9.05132
8.178461,-5.4455423,7.577986
10.232826,3.1314297,8.14911
12.778495,7.6244025,1.3658012
8.425018,-4.547808,8.1255455
6.361166,-9.134829,0.86422694
2.4484348,1.0785737,-9.946321
9.492429,-0.26954478,9.062925
4.448736,-6.605038,-6.543594
-5.099839,-4.6361604,8.31264
-5.756874,-6.7727227,6.7487106
0.8969749,8.238145,-6.2889786
-6.9905987,-9.49635,2.0619755
-7.3016605,-9.75389,0.5829988
-20.197897,-2.504379,2.2384484
-21.413414,-4.3747926,-1.5897092
-20.855183,-3.4966044,0.43521395
-19.813004,-1.9392737,3.0592492
-11.560986,6.1428714,-4.9973493
-12.290123,7.9265656,-1.8651611
-19.070631,-0.98495096,4.0848317
-17.501911,2.269727,6.073782
-13.583408,8.15615,2.498219
-17.922592,1.423801,5.767038
-19.209532,-1.0654383,3.7699118
-12.717026,8.235776,-0.21694487
-19.131084,-1.3056045,3.8080564
-13.801699,7.840707,3.3196368
-20.40728,-2.820277,1.7288226
-19.853052,-1.9983332,2.976504
-15.442619,5.554163,5.6541853
-10.39543,0.05939094,-8.725292
-10.761512,2.4585438,-7.8970084
-15.035547,6.4649534,5.103287
-15.122035,6.3606906,5.2162576
-7.3552294,-9.777494,0.32749406
-6.6783004,-9.1467085,3.496997
1.8059139,4.14426,-9.360731
1.613637,5.0540786,-8.90437
5.82013,-9.086952,-1.4762967
5.1657844,-8.252362,-4.1079874
6.1002455,-9.171442,-0.27682883
4.628326,-7.084782,-5.9828005
-0.55102724,10.018116,2.355055
3.6906574,-4.141161,-8.639347
7.274511,-8.088338,4.696643
-6.1128435,-7.7642307,5.600008
-8.546439,-8.290989,-5.2001395
