x,y
1.1760402,-24.492275
2.1799557,-5.8438663
17.512835,18.273987
1.745201,0.73882514
-17.286913,-12.794658
-21.825623,13.540163
-19.242462,0.26620385
-17.398384,-12.639968
3.1816208,15.17436
1.8797733,-0.24768263
41.06458,-14.530553
22.134962,12.312681
45.17024,-10.860102
47.054497,-8.362668
41.180923,-14.25392
-18.61617,-5.55962
-34.419907,18.016563
-34.189598,18.12688
-19.626137,4.2794294
1.9995795,-2.369036
1.9545915,-1.9088416
-7.824953,-26.627504
-2.2240708,-26.522562
3.118021,-22.541418
2.5213962,-6.014813
2.051403,-4.8080688
1.579498,2.2653766
1.9789957,-2.1517267
3.194442,-22.391674
-17.46758,-12.424739
-10.358295,-25.658138
-1.9151453,-26.459188
-7.5053797,-26.574873
-17.665157,-11.401943
-10.617771,-24.948109
-19.030172,-2.1058247
-1.9167535,-26.459051
-2.8993676,-26.684
-4.794796,-26.995342
-19.2798,0.57778674
-18.05104,-9.322643
-19.063755,-3.561524
-16.588184,-15.965925
-19.520933,3.4621394
1.7982496,3.881012
-15.259263,-19.04569
4.255554,16.550558
2.0996163,10.698319
16.665966,18.828999
4.3167233,16.635372
-19.141037,0.15206009
-19.48628,2.8981922
-19.802351,5.8350277
-19.377779,1.6678094
-8.347045,-26.42495
-6.988826,-26.604918
-10.761239,-25.480013
-15.849071,-18.034155
-6.9260855,-27.005278
-10.93241,-25.324165
-7.0209823,-26.593473
-1.6124847,-26.36008
1.7426363,-23.802011
-18.13033,-8.971677
-17.376862,-13.216587
-15.297196,-18.986843
-15.5606165,-18.641874
-18.362028,-7.344633
-16.202234,-17.017864
-18.702232,-5.0380335
-17.37787,-13.754726
-18.749907,-4.962163
-7.692852,-26.67576
-10.346178,-25.652382
-17.783447,-10.776166
-9.401581,-25.98219
-16.826042,-15.414924
-17.923489,-10.02636
-19.338232,0.14067917
-18.264927,-8.434761
2.5404415,-22.771477
-18.27121,-8.402275
-11.594159,-24.33444
2.7854087,-22.370758
-3.220206,-26.867353
-19.052393,-3.8892357
-11.095138,-24.93884
-18.936304,-3.004164
-18.276188,-7.9458313
-18.262917,-8.353833
-18.640831,-5.388175
-15.961188,-17.62554
-2.9481285,-26.722345
-16.532635,-16.084038
-10.76571,-25.475977
-17.075928,-14.89625
-10.624373,-24.944826
-11.112113,-24.984575
-17.081652,-14.537933
-19.158073,0.007521044
-16.791306,-14.667268
-17.288214,-13.88658
-16.706783,-14.988289
-16.459108,-16.35475
-4.7524934,-26.99431
-11.154743,-24.846146
-8.938577,-26.192392
-10.64032,-25.562191
-8.156823,-26.509169
-9.281343,-26.040316
-8.705659,-26.290226
-6.8831587,-26.99367
-17.059633,-13.358323
-11.289968,-24.711567
-15.799574,-18.185894
-15.356046,-18.91041
-6.0239987,-26.957367
-15.328861,-18.949038
-7.1385674,-27.017302
-10.02897,-25.611603
-17.00356,-13.509202
-16.363466,-16.670527
-16.61965,-15.755809
-18.651192,-3.6521401
-19.327301,1.0872046
-18.643251,-3.6831636
2.4551284,-6.7653275
2.42983,-6.3869247
2.532732,-5.0154324
-15.950967,-17.642376
-18.258524,-8.061646
-2.4877906,-26.807474
-16.714548,-14.933885
-16.568872,-15.909129
-18.489538,-6.4859076
-18.608055,-4.1522784
-18.991707,-2.4309018
-7.0290747,-26.590755
-4.0463166,-26.955278
2.4298108,-6.3936157
2.2581334,-23.283894
-0.047079112,-25.36682
-10.240397,-25.210512
-17.13431,-13.187574
1.2484775,-24.431726
-16.180714,-17.05946
-19.35401,1.3981675
-19.053381,-3.8811605
-18.351067,-7.4176645
-15.997803,-17.496614
-17.963207,-9.767594
-3.3101594,-26.881895
1.7500869,-23.795258
-4.250681,-26.971107
-6.308687,-26.9386
-16.899563,-14.218649
-18.91951,-4.386549
-16.988287,-15.128965
-18.779087,-3.3004334
-19.174973,-0.57117516
-17.432066,-13.603866
1.71086,7.7191563
24.370668,3.0227041
2.1216366,-3.4997458
-16.68187,-15.357978
-18.610098,-4.1915016
-19.483025,2.8597462
1.7481604,0.76994044
-19.046833,-1.9064357
-19.527164,3.397574
-20.080574,8.224526
-20.162851,9.501445
-16.943563,-13.904175
1.7068082,1.9964286
2.5394092,-5.629395
18.74734,17.561409
2.155191,-3.822595
-9.799357,-25.803926
-1.2753944,-26.161755
-19.154558,-0.7944425
-19.22341,-0.10632987
-37.11026,16.398645
-37.166153,16.35445
-21.616941,13.118172
-21.281883,12.389177
-15.73167,-18.379154
1.7894672,-24.090427
1.7047714,2.0211856
1.6111948,5.414436
-18.20925,-8.687554
-18.5239,-6.243008
-20.516863,10.53118
-20.215132,9.067842
-19.412008,2.0420153
-22.942993,15.29607
-15.092119,-19.296122
24.7055,0.5105203
24.699371,0.4794574
18.084908,17.771725
-20.421984,10.058372
-27.677933,19.006947
1.8015989,3.8803868
-19.11799,-1.1070862
2.1015193,-5.4520087
-32.487114,18.731094
-42.21648,10.000527
-36.71379,16.696499
3.2728393,-21.946863
2.2852964,-4.2386646
32.419292,-15.750007
12.308507,20.550594
25.215715,-4.657254
2.967102,-22.067022
-18.994709,-3.2242684
1.9152428,-0.8279035
-43.24612,7.0814905
-52.720898,-11.890013
-55.795147,-12.20005
-51.383728,-11.108099
-44.468887,2.1798685
-38.66991,15.008713
3.7321694,15.763663
23.784058,5.733501
5.544014,18.136477
-1.3248644,-26.191418
-23.45115,15.749177
-46.703285,-5.039559
-40.501156,12.72668
-42.967567,7.9429364
-31.57986,18.9354
-19.873186,6.653801
25.406227,-5.752625
47.91994,-6.892914
0.37660292,-25.076002
-43.7337,5.4086423
-33.097622,18.647902
-28.34366,19.331125
23.864388,6.4471784
-30.39908,19.087341
-43.56522,6.128612
-52.91412,-11.915558
-42.713356,8.596875
-1.2206732,-26.13384
49.6655,-3.055097
14.459797,19.892706
51.558113,0.9030413
3.9343202,16.044935
1.6091795,5.3165092
2.7730525,13.507002
-20.49992,9.426071
-45.37109,-0.8529358
-64.79643,-9.446499
-65.99862,-9.31324
-63.28341,-10.015564
-63.691895,-9.893751
-47.61919,-7.32009
-22.066143,14.207233
49.198048,-4.2783685
35.530914,-16.010191
-18.662235,-5.1644645
-46.220135,-4.083394
-62.602364,-10.486211
-57.53728,-12.326073
-48.216866,-7.87447
-50.976334,-10.815241
-25.173702,17.160807
26.016758,-8.057165
25.294058,-5.1879497
-28.347012,19.365076
-51.75148,-11.451481
-53.08741,-11.973262
-14.577179,-20.072987
-25.252968,17.22416
-6.4489202,-26.960585
-56.396873,-12.185415
-57.186115,-12.006893
-47.865097,-7.5489364
38.960922,-15.285987
14.523257,20.220922
50.340813,-1.7081146
1.4781276,2.1732395
24.332193,3.1722825
-19.882528,6.743154
2.2735982,-23.5436
12.543969,20.528275
-47.736225,-6.961736
-60.070812,-11.463837
-64.35334,-9.940761
-65.66345,-9.566052
-65.762405,-9.514353
-66.245705,-9.06814
-20.132807,9.320601
40.660236,-14.41595
50.909836,-0.9965222
-29.830832,19.12248
-55.45956,-12.186392
