,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
20,-0.32968643,-0.0013050127,1.5022769e-05,1.5677551e-28,-9.899563e-30,-1.1450444e-22,0.0639905,-0.06735286,7.4345696e-19,-6.8172274e-05,0.0040604575,-0.23969732,-0.014038208,-7.9451734e-32,4.3753567e-10,-0.36987588,-0.0017863392,-9.896644e-30,2.4913136e-22,-1.3287069e-29,1.124007e-18,0.00020622328,-9.073797e-08,-6.88092e-30,0.10723434,4.840118e-06,-0.0029379404,0.014390304,-0.2746798,1.1848154e-28,8.375267e-26,-0.25767583
21,-0.28697234,-0.0011846527,1.3825467e-05,1.2019262e-28,-4.038979e-30,-9.3177284e-23,0.056443997,-0.059530523,7.647894e-19,-6.177361e-05,0.0036489978,-0.20919494,-0.012578453,-8.083316e-32,4.1652992e-10,-0.3218339,-0.0016271295,-1.0205215e-29,2.5824282e-22,-1.8368977e-29,1.2114093e-18,0.00018740438,-8.382118e-08,1.42870505e-30,0.09437987,4.478702e-06,-0.0026485673,0.012878971,-0.23941135,1.3103826e-28,6.675642e-26,-0.22491226
22,0.3313376,0.000517462,-4.3846003e-06,1.7059541e-28,1.3404325e-29,-8.1396044e-23,-0.04821125,0.048606057,4.1196477e-19,3.0152336e-05,-0.0020313528,0.22711693,0.0075224964,-1.8800763e-32,-4.5040666e-11,0.3752111,0.000623408,-7.7773204e-30,2.1927019e-22,-1.6875833e-29,9.905029e-19,-8.157624e-05,2.7568998e-08,1.8272251e-29,-0.08447317,-1.2058342e-06,0.0013672577,-0.007992092,0.2680028,-1.8694502e-29,1.02351806e-26,0.24450311
23,0.5354091,0.0010740636,-1.0419328e-05,2.244407e-28,9.719314e-30,-1.1137471e-22,-0.08195254,0.083433494,2.2080462e-19,6.0321207e-05,-0.0038705873,0.36986607,0.014019179,-6.5736994e-32,-2.0079313e-10,0.60578334,0.0013592085,-6.1687356e-30,2.0451389e-22,-1.3475747e-29,7.7666474e-19,-0.00016973086,6.410623e-08,1.8025931e-29,-0.14217737,-3.095973e-06,0.0026708154,-0.014742251,0.4346687,-1.0755221e-28,5.268802e-27,0.3982915
24,0.2146081,0.00026451697,-2.2879958e-06,1.7821287e-28,8.262871e-31,-1.0123985e-23,-0.028251521,0.02792221,2.534563e-19,1.823466e-05,-0.0011048927,0.14291085,0.0040374314,-1.1017688e-31,-7.196299e-12,0.2448813,0.00028849463,-6.7972696e-30,2.0881422e-22,-1.2097208e-29,5.3195716e-19,-4.5010886e-05,1.6657072e-08,9.086638e-30,-0.049615912,-5.956276e-07,0.0007287762,-0.0043664593,0.17091942,-8.937625e-29,4.5903976e-26,0.15425965
25,-0.55826724,-0.0017988044,1.9507308e-05,4.49429e-29,-3.0299843e-30,9.959808e-23,0.102197036,-0.10688791,6.0063264e-19,-9.213571e-05,0.0058307536,-0.40348244,-0.020687398,-2.3934156e-31,5.6124305e-10,-0.62536323,-0.0024397676,-1.01688574e-29,2.6310306e-22,-1.8793167e-29,4.8819176e-19,0.00027871237,-1.1644228e-07,-4.7105147e-30,0.17407009,6.2048193e-06,-0.004163308,0.021321487,-0.46412367,3.6242637e-29,9.9582165e-26,-0.43335265
26,-0.6019719,-0.0019219406,2.1025298e-05,-5.4214735e-29,5.3357137e-30,1.1990621e-22,0.11004545,-0.11505318,6.109278e-19,-9.9341196e-05,0.006241906,-0.43540293,-0.022156503,-2.9813826e-31,6.2314565e-10,-0.6740614,-0.0026050194,-1.0792515e-29,2.7211993e-22,-1.9483148e-29,3.5471149e-19,0.00029874066,-1.2790163e-07,-6.216024e-30,0.18764499,6.7025185e-06,-0.0044538905,0.022841621,-0.5006995,6.747375e-31,9.977636e-26,-0.46754032
27,-1.0363743,-0.0031476212,3.4528814e-05,-1.5371153e-28,2.8609072e-29,2.1985773e-22,0.18373998,-0.19115628,1.0479062e-18,-0.00016634128,0.01028789,-0.7415982,-0.03641925,-2.3880111e-31,1.0050266e-09,-1.1637558,-0.0042247246,-1.4857639e-29,3.157709e-22,-3.0675027e-29,7.3838634e-19,0.0004938393,-2.123899e-07,-7.887358e-30,0.31321067,1.0967022e-05,-0.0073219556,0.037659954,-0.85698414,1.8107266e-28,9.295378e-26,-0.79694146
28,-1.5889056,-0.004629418,5.0730494e-05,-4.649629e-28,4.2137797e-29,2.795191e-22,0.2756954,-0.28621244,1.4029063e-18,-0.0002471925,0.01521834,-1.1304489,-0.053924702,-3.012454e-31,1.4489457e-09,-1.7868134,-0.0061885407,-1.873954e-29,3.6311674e-22,-3.549927e-29,8.207125e-19,0.00072855054,-3.1373867e-07,-1.2467525e-29,0.4711783,1.6060723e-05,-0.0108098285,0.05583591,-1.3097953,2.6363537e-28,1.1978168e-25,-1.2155637
29,-1.141732,-0.003425391,3.7756232e-05,-3.182756e-28,2.7675935e-29,2.1806827e-22,0.20010859,-0.20806693,1.17234e-18,-0.00018200814,0.011186149,-0.8141188,-0.039571237,-2.1741694e-31,1.0903884e-09,-1.283428,-0.0045954385,-1.6011202e-29,3.243166e-22,-3.1452603e-29,9.008741e-19,0.000538591,-2.3263485e-07,-4.5330433e-30,0.34154394,1.1986326e-05,-0.007962956,0.04092667,-0.94224983,2.1895695e-28,1.02852905e-25,-0.8753791
30,-0.5372193,-0.0018106818,2.0657712e-05,-2.6520265e-28,1.0891799e-29,1.4317867e-22,0.098331004,-0.10289782,8.675747e-19,-9.542881e-05,0.0057665524,-0.38736343,-0.020258408,-1.6719156e-31,6.404014e-10,-0.60255647,-0.0024623624,-1.2668894e-29,2.8169163e-22,-2.6719774e-29,9.408065e-19,0.00028494737,-1.2822e-07,6.394066e-30,0.16708761,6.6439798e-06,-0.0041392036,0.02085625,-0.44594163,1.2699471e-28,8.3232036e-26,-0.4163535
31,0.97933006,0.0022040016,-2.144757e-05,-9.3577325e-30,1.5334859e-29,-1.654162e-22,-0.15661108,0.16053243,1.8111298e-19,0.00011834731,-0.00774169,0.68348074,0.027968265,-4.254476e-32,-4.3956166e-10,1.1054221,0.0028455819,-5.82577e-30,1.9650022e-22,-1.5592066e-29,1.0256136e-18,-0.0003432346,1.2607427e-07,3.3023542e-29,-0.27032024,-6.463475e-06,0.005386091,-0.029257912,0.79934746,-1.5577018e-28,-2.6413183e-26,0.73545223
32,0.74611056,0.0015455824,-1.3823814e-05,-2.9502596e-28,2.1805213e-29,-9.228831e-23,-0.117625624,0.120225385,4.491373e-19,8.1403225e-05,-0.0055923886,0.51939887,0.020418618,-4.6100114e-32,-2.079989e-10,0.8422717,0.0019692993,-8.498551e-30,2.2399538e-22,-2.2115538e-29,1.2577141e-18,-0.00023723801,7.6314805e-08,3.579504e-29,-0.20353654,-4.033589e-06,0.003856934,-0.02142879,0.60828376,-6.9796574e-29,-1.4776893e-26,0.5587527
33,-0.2385831,-0.0010040675,1.20485065e-05,-1.8639124e-28,-5.645379e-30,9.024433e-24,0.047793947,-0.050681785,6.5645405e-19,-5.2159645e-05,0.003069328,-0.17632301,-0.010646323,-2.147148e-31,4.0193898e-10,-0.26641315,-0.0013958863,-1.0227723e-29,2.6613938e-22,-2.2189853e-29,9.159543e-19,0.00015823389,-7.545394e-08,1.0735662e-29,0.080586895,3.9446904e-06,-0.0022342799,0.010865691,-0.20060663,4.151386e-29,7.717273e-26,-0.18943363
34,-2.027074,-0.00571459,6.215603e-05,-8.0484564e-28,-1.3100628e-29,2.0240567e-22,0.3446105,-0.35739818,1.5669237e-18,-0.0003052029,0.018845767,-1.4342341,-0.06685945,-3.7166853e-31,1.6832468e-09,-2.2833674,-0.0076316046,-1.9287069e-29,3.7793697e-22,-3.1282832e-29,1.0811371e-18,0.0008983737,-3.7995287e-07,-9.843262e-30,0.59077984,1.9570665e-05,-0.013374357,0.06925635,-1.6659015,3.4276071e-28,2.1081568e-25,-1.5436374
35,-1.9197443,-0.0054881717,6.009132e-05,-7.7571335e-28,-3.145415e-29,6.352696e-23,0.32678872,-0.33901253,1.572795e-18,-0.00029444418,0.018036408,-1.35746,-0.06379886,-2.8966623e-31,1.6106996e-09,-2.1635373,-0.00733479,-1.8397265e-29,3.501418e-22,-1.904027e-29,1.2544096e-18,0.00086536707,-3.6789427e-07,-2.2082427e-29,0.559663,1.8925695e-05,-0.012814958,0.06605076,-1.5769833,3.4626603e-28,2.3735185e-25,-1.4613485
36,-1.3029511,-0.00394144,4.389922e-05,-4.292888e-28,9.1710166e-30,7.426994e-23,0.22726102,-0.23618889,1.363539e-18,-0.0002121616,0.012834035,-0.9262843,-0.045179788,-1.399981e-31,1.2364553e-09,-1.4666556,-0.0052835885,-1.6852212e-29,3.0928336e-22,-1.7153841e-29,1.1446256e-18,0.00062393985,-2.720872e-07,-2.5178651e-29,0.3874711,1.3919888e-05,-0.009145223,0.046712846,-1.0733254,2.6845562e-28,1.5638157e-25,-0.9965421
37,-1.5086613,-0.0044887145,5.0070405e-05,-4.524095e-28,2.860838e-29,-5.559575e-23,0.25991532,-0.26985028,1.5884727e-18,-0.00024259654,0.014622493,-1.068434,-0.051457763,-2.0085561e-31,1.4035123e-09,-1.6999521,-0.006004121,-1.8898934e-29,3.6273549e-22,-2.7102968e-29,1.5010685e-18,0.0007119301,-3.1076894e-07,-1.17220575e-29,0.44355562,1.587874e-05,-0.010415559,0.053244077,-1.2402029,3.2034732e-28,1.1719692e-25,-1.1500416
