x,y,z
14.048298,1.1418405,7.126626
2.6895306,8.137513,3.554812
0.61793303,0.653643,9.996928
-2.2680266,-9.803369,-1.995426
-8.842732,9.490046,-2.1438947
0.2826918,-2.174853,10.136081
-0.32043707,-5.851898,8.612007
-0.036349643,-4.156323,9.556619
-9.648953,9.381933,1.1461821
-2.7242317,-9.167099,-4.381585
-5.9270797,1.9959064,-9.300431
-12.926513,-2.7942874,6.216939
-7.3992696,7.0832725,-6.7711287
-5.254069,-0.5613192,-9.557193
-13.196426,-3.772027,5.618728
-15.056313,-7.204774,0.50815445
-19.656172,-1.8865213,-4.906012
-4.5227,-3.4926753,-9.532976
-0.7097688,-7.720332,6.7302494
-1.9242406,-9.943938,-0.07681897
-12.329402,-0.21151888,7.1441417
-15.321105,-7.249026,-0.11691572
-11.293515,4.6462607,6.6813803
-10.683764,6.991651,5.2288313
3.1300495,8.914988,1.7684171
2.1720438,7.1017423,5.539794
3.721257,9.199663,-0.49256733
13.797656,0.1528917,7.1821094
3.229137,8.996833,1.3852767
-0.09465569,-4.51288,9.403771
2.099349,6.5779057,5.889709
1.426123,4.20954,8.332908
-9.534564,9.521777,0.53623784
-0.16330957,-5.285775,9.088551
2.6726618,8.0919895,3.625429
11.514775,-7.8350224,0.3706341
2.481873,7.6540804,4.392285
-13.3009,-4.0875697,5.3580794
-9.561821,9.50181,0.6401335
-6.8776135,5.4491687,-8.042862
-3.501329,-6.9788103,-7.459331
2.8765943,8.374645,2.8318465
-3.8138804,-6.0061316,-8.237857
-12.339475,-0.25813365,7.1338606
-10.950971,6.008994,5.9303417
1.0652823,2.4186065,9.372197
-1.673287,-9.893791,1.351593
-8.69034,9.388607,-2.6976395
-8.6348715,9.346297,-2.8926785
0.7267904,0.5015924,10.089707
0.5863484,-0.09655619,10.11764
2.777584,8.331047,3.1957788
7.2982044,1.300598,-8.292089
10.230822,-6.979758,-4.587974
-2.4528062,-9.586245,-2.976056
-11.335868,4.456565,6.7551203
-2.071634,-9.916751,-0.90461975
-1.0255511,-8.807577,5.036525
2.736481,8.227706,3.3668602
13.808254,0.19643553,7.1798306
20.93263,3.5391042,-2.8101437
21.78741,1.9505085,-3.4332888
18.539963,6.5490623,0.061835438
16.014692,5.970864,4.4908853
7.055015,2.026458,-8.124819
9.939349,-6.1716404,-5.7225986
9.379654,-4.856764,-6.9406137
8.7029705,-3.0425754,-7.940327
-1.4720168,-9.660179,2.5019855
17.564295,6.8714204,1.6593673
20.143488,4.7886267,-2.0211706
3.6245384,9.334733,-0.17362434
0.35030964,-1.747142,10.088864
-13.613627,-4.988572,4.5028334
-10.143352,8.53799,3.2311168
-9.450441,9.566673,0.24425747
-8.789916,9.459424,-2.3317416
-11.975924,1.459932,7.3440027
-16.142223,-7.0995736,-1.8846334
-16.989597,-6.3527627,-3.267003
-7.374446,7.0111847,-6.8430786
-0.24594289,-5.1833105,9.080765
-1.037361,-8.838003,4.971471
-1.6292826,-9.853679,1.602726
0.6858978,0.82888955,9.914055
0.020184088,-3.8097205,9.678101
10.855485,-7.8713813,-2.385998
15.035961,4.238984,6.141063
17.567585,6.8717556,1.6533934
3.6078632,9.286134,-0.09572522
10.794692,-7.819903,-2.6141787
-5.772095,1.404518,-9.386537
-11.239163,4.875859,6.576584
-12.003096,1.3280565,7.325291
1.4629267,4.3459597,8.189346
11.859085,-7.435168,1.876416
13.357421,-1.7832261,6.870211
15.364538,4.9515724,5.6263013
6.3047266,4.100133,-7.195574
-9.085917,9.586127,-1.2428453
9.1856,-4.360151,-7.2571206
12.448854,-5.8333597,4.384164
0.9613263,1.8621477,9.614463
16.252928,6.213679,4.05456
14.496315,2.736356,6.8235235
23.345133,-1.8960612,-3.9877918
22.578789,0.11713644,-3.7750444
-1.0714544,-8.924872,4.7785106
-7.1610107,6.37034,-7.4036937
-12.670493,-1.746835,6.695205
-0.87581533,-8.411393,5.8866606
-8.75755,9.437407,-2.4533718
-8.97121,9.550786,-1.6651201
-16.679781,-6.6806397,-2.8107574
-14.6610985,-7.018438,1.4965628
-11.471897,3.8434615,6.949151
1.8652459,5.8384714,6.7488017
16.289291,6.2443695,3.986916
